Sequence ID	Taxonomy	Confidence
cd86778618a50e3c3e641748be0085d9	Root;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia/Shigella	0.97
bee3a4432f45ecedcc32c259b281a8a3	Root;Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae_incertae_sedis	0.04
a7a288dfed7808550a0f98aca9d15e12	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Caproicibacter	0.29
8b6a8d84077786df9468b31ee657a070	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Gemmiger	0.7
c1a00cbebabdc2106adcdf64f5203480	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Huintestinicola	0.12
310889c95e294049f67286ec2ca7b12e	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Solibaculum	0.38
3da89e2d406e964a0fe14a4f15aad58e	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Anaerobutyricum	1.0
50f7389c3dde5715884cef85e339ea5f	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruminococcoides	1.0
fa35375d796454e05e0391222e94c503	Root;Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Holdemanella	0.99
26634155d6e7a6dd45f4bd05937bda56	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Caproicibacter	0.16
e6eecb3995a0b2ad3c907cdefc3c8fd0	Root;Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella	1.0
9d3daaeedf64a3a52d880b9bcad4103a	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Hominimerdicola	0.99
c3a1557033427a59f5fb49395539fe5b	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Lawsonibacter	0.28
2903b7d2f8450e6236bdfbc0bf55bbf3	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Seramator	0.31
72baf3aedb19081bf2501928db9fba15	Root;Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Faecalibacillus	1.0
6ec618aa07b6848a4f9e00260b402148	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Agathobacter	0.86
515a18f7e8089f419b7b83128f01bfa7	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides	1.0
60d85d1e3e4bfeabf604493a3a0e5719	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Solibaculum	0.89
735049b3a58d118913b4835e5d04dbc8	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Gemmiger	0.6
14f69f5bd99cdea4fb3221b54a0e4cd0	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Hominimerdicola	0.15
cb868a4d1f2bab726101997b026905c6	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Coprococcus	1.0
fb2018d4c217d5c0e8bc7704801e9a28	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Cellulosibacter	0.11
3667f1974676940c2a649c33038e4080	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella	1.0
8023338f3676b8ac0e380b3d921ffc7a	Root;Bacteria;Actinomycetota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium	1.0
f534ab1562981a0df4f15c097a1bc028	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Acetanaerobacterium	0.46
6170ffcbfa159bf403cee0fd129b90b7	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales_incertae_sedis_XI;Dethiosulfatibacter	0.22
30d6f19c7a76d5240333584aa54000c6	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Monoglobus	1.0
e0643cf19626133cc8c73d2aa7628495	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Blautia	0.99
444f8bd1f525cee07f9c94841c6daa77	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes	1.0
e77d6b37fda8f7a90d17606f31873b09	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes	1.0
ac3e627e7ce38a04bffb902d3a01642e	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	1.0
d7f72ba0aa13665439cfabc27c079694	Root;Bacteria;Bacillota;Negativicutes;Acidaminococcales;Acidaminococcaceae;Succiniclasticum	0.49
3bbf316c592c2f065e9f921905dc81b9	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Fusicatenibacter	0.41
46bbbd71d4d3bc4c2284e43698105e1f	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ercella	0.25
4a2507dd9aa063e6c7befce6c55ed48d	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Lawsonibacter	0.73
629544eaa5d14026c3698a50e98a2b37	Root;Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae_incertae_sedis	0.06
eeab9a0834c1e4a7de485b824bedfcf2	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriales_incertae_sedis_XI;Dethiosulfatibacter	0.22
9f0aa156bcb63553172efcabf28dd3f6	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes	1.0
a19ff66166351649e1aaddd175434bb7	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Roseburia	1.0
c0312b469cbc168380b649d880fb54bc	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Faecalibacterium	1.0
63ccf0cdef4d976930e2ba3010ff767b	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Neglecta	0.81
72d9d05b1f9c3405ca5d9ae44efed35b	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Vescimonas	0.87
71b9fe3d2202f46a17719c21210e7ff2	Root;Bacteria;Bacillota;Clostridia;Eubacteriales;Oscillospiraceae;Ruthenibacterium	1.0
732c3a20452d3ed3027255530940c7a2	Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola	1.0
